Record_ID,Department,Employee_ID,Transaction_Amount,Transaction_Date,Status
1,IT,EMP1001,277348.34,11-05-2024,Approved
2,Finance,EMP1002,447806.67,01-11-2023,Rejected
3,Sales,EMP1003,245426.41,24-02-2023,Rejected
4,Operations,EMP1004,408916.1,04-07-2024,Approved
5,HR,EMP1005,332341.83,02-01-2023,Approved
6,IT,EMP1006,223711.08,26-06-2024,Rejected
7,Sales,EMP1007,361600.83,01-05-2023,Rejected
8,HR,EMP1008,467631.56,24-05-2024,Rejected
9,IT,EMP1009,499600.66,02-08-2023,Approved
10,HR,EMP1010,244209.84,27-11-2023,Rejected
11,IT,EMP1011,286507.8,20-05-2024,Pending
12,HR,EMP1012,148924.24,16-10-2024,Rejected
13,Finance,EMP1013,233495.99,28-04-2023,Pending
14,Operations,EMP1014,336743.6,22-08-2023,Pending
15,Sales,EMP1015,86832.49,17-09-2023,Rejected
16,Sales,EMP1016,382722.3,21-08-2023,Approved
17,Operations,EMP1017,471178.46,08-10-2024,Pending
18,Audit,EMP1018,329467.11,03-04-2023,Approved
19,Audit,EMP1019,467503.02,14-11-2024,Pending
20,HR,EMP1020,444806.14,14-01-2024,Rejected
21,Finance,EMP1021,178343.5,19-05-2023,Approved
22,HR,EMP1022,153289.28,04-09-2024,Pending
23,Audit,EMP1023,28743.52,09-07-2023,Pending
24,Operations,EMP1024,356347.62,01-05-2023,Approved
25,Sales,EMP1025,232386.66,07-10-2023,Pending
26,Sales,EMP1026,302368.03,24-10-2024,Pending
27,Operations,EMP1027,164107.14,18-11-2024,Approved
28,IT,EMP1028,108805.55,29-04-2023,Pending
29,Operations,EMP1029,258683.36,25-07-2024,Pending
30,Sales,EMP1030,366265.58,22-05-2024,Pending
31,IT,EMP1031,408354.68,06-08-2023,Rejected
32,Operations,EMP1032,493130.8,27-06-2023,Rejected
33,Sales,EMP1033,336871.94,18-06-2023,Approved
34,HR,EMP1034,293212.74,17-10-2024,Rejected
35,Audit,EMP1035,224687.83,10-01-2024,Approved
36,Finance,EMP1036,37102.63,12-10-2023,Rejected
37,IT,EMP1037,289359.07,12-01-2023,Approved
38,Operations,EMP1038,376335.02,15-05-2023,Approved
39,Sales,EMP1039,276450.87,09-04-2024,Approved
40,Operations,EMP1040,57948.12,09-01-2024,Rejected
41,Operations,EMP1041,176063.95,30-09-2024,Rejected
42,HR,EMP1042,126280.21,24-07-2023,Approved
43,Sales,EMP1043,212890.66,02-05-2024,Rejected
44,Finance,EMP1044,176698.46,22-09-2023,Rejected
45,Sales,EMP1045,249375.17,13-12-2024,Approved
46,Finance,EMP1046,77692.71,10-03-2023,Rejected
47,IT,EMP1047,161152.67,07-02-2023,Rejected
48,Finance,EMP1048,12379.81,30-09-2024,Pending
49,HR,EMP1049,392372.91,27-07-2024,Rejected
50,HR,EMP1050,332845.75,06-11-2024,Rejected
51,Audit,EMP1051,273046.12,10-06-2024,Rejected
52,Finance,EMP1052,450768.91,16-07-2024,Pending
53,IT,EMP1053,243641.65,03-01-2023,Rejected
54,IT,EMP1054,490206.65,01-10-2023,Pending
55,Sales,EMP1055,449663.82,04-10-2024,Rejected
56,Sales,EMP1056,13131.63,12-07-2023,Rejected
57,Sales,EMP1057,446209.42,23-05-2024,Rejected
58,Finance,EMP1058,471638.05,22-05-2024,Approved
59,HR,EMP1059,293300.31,14-04-2023,Rejected
60,Finance,EMP1060,18002.16,31-12-2023,Pending
61,Audit,EMP1061,392912.96,07-03-2023,Rejected
62,Operations,EMP1062,326511.92,12-03-2024,Pending
63,Operations,EMP1063,347065.86,11-03-2024,Rejected
64,Audit,EMP1064,402060.35,26-12-2023,Pending
65,Finance,EMP1065,114333.68,10-01-2023,Rejected
66,HR,EMP1066,88943.09,17-10-2024,Rejected
67,Operations,EMP1067,308014.54,04-07-2024,Approved
68,HR,EMP1068,176772.16,03-08-2023,Pending
69,IT,EMP1069,165242.22,26-12-2023,Approved
70,IT,EMP1070,347151.22,28-12-2023,Approved
71,Finance,EMP1071,486458.18,05-09-2024,Approved
72,Sales,EMP1072,167828.28,10-02-2023,Rejected
73,HR,EMP1073,447687.85,11-05-2024,Approved
74,Sales,EMP1074,281801.45,04-09-2024,Approved
75,Sales,EMP1075,14890.65,14-10-2023,Approved
76,Operations,EMP1076,76710.19,22-06-2023,Approved
77,Operations,EMP1077,325055.2,17-12-2023,Rejected
78,Operations,EMP1078,481394.27,22-03-2024,Approved
79,Finance,EMP1079,278645.27,14-04-2024,Approved
80,Sales,EMP1080,94760.72,09-01-2023,Rejected
81,Audit,EMP1081,361824.68,31-03-2024,Approved
82,HR,EMP1082,437476.19,19-11-2024,Pending
83,Audit,EMP1083,499351.22,24-05-2023,Approved
84,HR,EMP1084,350501.55,25-07-2024,Rejected
85,Audit,EMP1085,255773.66,23-09-2024,Approved
86,HR,EMP1086,224291.59,22-11-2024,Rejected
87,Audit,EMP1087,407728.07,09-08-2024,Pending
88,HR,EMP1088,318285.91,14-02-2024,Rejected
89,Audit,EMP1089,310858.38,25-08-2023,Rejected
90,Operations,EMP1090,446786.92,09-09-2023,Approved
91,HR,EMP1091,276164.29,27-07-2024,Rejected
92,IT,EMP1092,328396.93,10-12-2023,Approved
93,Operations,EMP1093,293159.76,30-07-2024,Rejected
94,Audit,EMP1094,354078.54,08-06-2023,Pending
95,Sales,EMP1095,406614.6,30-10-2023,Pending
96,HR,EMP1096,352398.63,29-11-2023,Approved
97,Audit,EMP1097,77891.02,14-03-2024,Pending
98,Finance,EMP1098,131487.84,08-09-2023,Pending
99,Sales,EMP1099,235598.38,27-08-2023,Pending
100,Finance,EMP1100,384545.33,15-11-2023,Rejected
101,HR,EMP1101,10298.76,18-10-2024,Approved
102,Operations,EMP1102,89857,06-07-2023,Pending
103,HR,EMP1103,119135.23,07-02-2023,Approved
104,IT,EMP1104,465780.49,27-07-2023,Pending
105,IT,EMP1105,227471.61,05-04-2024,Pending
106,IT,EMP1106,307683.33,05-09-2023,Rejected
107,IT,EMP1107,423989.89,03-02-2023,Approved
108,Audit,EMP1108,371583.07,21-11-2023,Rejected
109,HR,EMP1109,225224.8,10-07-2023,Pending
110,Operations,EMP1110,109602.53,24-02-2023,Pending
111,Operations,EMP1111,427467.98,18-04-2024,Pending
112,HR,EMP1112,233592.48,24-03-2023,Approved
113,IT,EMP1113,254882.56,20-09-2023,Rejected
114,Audit,EMP1114,400358.75,19-05-2024,Rejected
115,HR,EMP1115,155383.35,15-01-2023,Approved
116,Audit,EMP1116,351022.6,23-03-2024,Approved
117,Audit,EMP1117,241362.32,26-01-2023,Rejected
118,IT,EMP1118,335950.53,21-11-2024,Rejected
119,Audit,EMP1119,189022.43,03-02-2024,Approved
120,HR,EMP1120,234669.63,26-04-2023,Pending
121,IT,EMP1121,419499.5,06-05-2024,Rejected
122,Audit,EMP1122,202485.61,06-11-2024,Rejected
123,Sales,EMP1123,127380.23,01-03-2024,Approved
124,Audit,EMP1124,99099.47,31-05-2024,Approved
125,IT,EMP1125,288391.74,27-09-2024,Pending
126,Sales,EMP1126,26826.72,16-09-2023,Pending
127,IT,EMP1127,201451.58,09-07-2024,Rejected
128,IT,EMP1128,423578.26,05-08-2024,Rejected
129,IT,EMP1129,427791.49,17-03-2023,Approved
130,Audit,EMP1130,479860.72,10-02-2023,Approved
131,Finance,EMP1131,207900.04,01-10-2023,Rejected
132,Operations,EMP1132,197151.67,05-01-2023,Approved
133,IT,EMP1133,144933.03,14-06-2023,Approved
134,IT,EMP1134,488585.88,23-08-2024,Pending
135,Finance,EMP1135,381746.08,14-04-2023,Rejected
136,Operations,EMP1136,330372.24,20-05-2023,Pending
137,HR,EMP1137,156390.53,25-05-2023,Rejected
138,Sales,EMP1138,170550.95,10-04-2024,Approved
139,IT,EMP1139,91759.13,28-07-2023,Rejected
140,Sales,EMP1140,25993.22,20-07-2023,Approved
141,Finance,EMP1141,49579.72,06-08-2024,Approved
142,Finance,EMP1142,160194.55,27-05-2024,Approved
143,HR,EMP1143,39907,13-07-2024,Rejected
144,Finance,EMP1144,271327.62,06-07-2024,Rejected
145,Audit,EMP1145,164324.16,29-07-2024,Rejected
146,Audit,EMP1146,257019.95,26-09-2023,Approved
147,IT,EMP1147,238532.35,31-01-2024,Rejected
148,Audit,EMP1148,80098.87,26-01-2024,Approved
149,IT,EMP1149,128475.08,29-12-2024,Pending
150,Operations,EMP1150,252729.06,10-08-2024,Approved
151,Audit,EMP1151,330211.92,29-12-2024,Pending
152,Operations,EMP1152,106844.48,10-10-2024,Approved
153,IT,EMP1153,282042.37,19-08-2024,Rejected
154,IT,EMP1154,363957.52,20-08-2024,Rejected
155,Audit,EMP1155,17335.03,13-07-2023,Rejected
156,Sales,EMP1156,421240.92,26-02-2024,Pending
157,HR,EMP1157,223869.36,16-05-2023,Pending
158,Operations,EMP1158,35907.78,23-11-2023,Pending
159,Operations,EMP1159,7578.28,04-08-2023,Approved
160,Operations,EMP1160,258279.72,07-04-2023,Pending
161,HR,EMP1161,451033.81,22-01-2024,Approved
162,HR,EMP1162,251838.41,20-04-2024,Rejected
163,IT,EMP1163,87438.91,06-04-2023,Pending
164,HR,EMP1164,40405.52,18-12-2023,Rejected
165,Audit,EMP1165,228876.06,11-07-2024,Pending
166,Sales,EMP1166,236021.11,18-09-2024,Pending
167,Operations,EMP1167,24381.35,08-08-2023,Rejected
168,Sales,EMP1168,171310.89,23-02-2023,Pending
169,Sales,EMP1169,74060.49,20-03-2024,Rejected
170,Operations,EMP1170,253903.36,26-10-2023,Pending
171,Sales,EMP1171,75024.29,13-10-2024,Approved
172,Sales,EMP1172,359398.57,29-01-2024,Pending
173,Audit,EMP1173,5995.58,18-04-2023,Approved
174,Sales,EMP1174,153698.55,24-08-2023,Rejected
175,IT,EMP1175,192125.06,25-07-2023,Approved
176,Operations,EMP1176,188490.69,21-03-2023,Approved
177,Operations,EMP1177,440063.64,23-09-2024,Rejected
178,Audit,EMP1178,212221.7,28-09-2023,Pending
179,IT,EMP1179,382027.8,20-11-2024,Pending
180,HR,EMP1180,384396.42,04-11-2023,Pending
181,Operations,EMP1181,37549.74,15-07-2024,Approved
182,Audit,EMP1182,254619.17,20-05-2023,Rejected
183,Finance,EMP1183,77155.07,17-05-2023,Pending
184,Finance,EMP1184,96416.56,16-02-2023,Rejected
185,Operations,EMP1185,441922.58,13-11-2023,Pending
186,HR,EMP1186,369128.56,29-11-2024,Pending
187,IT,EMP1187,101682.13,03-03-2024,Pending
188,IT,EMP1188,118712.79,28-11-2024,Approved
189,IT,EMP1189,441332.51,20-12-2023,Pending
190,Sales,EMP1190,183818.41,26-10-2024,Approved
191,Finance,EMP1191,431712.87,11-03-2024,Rejected
192,HR,EMP1192,27031.51,22-03-2024,Pending
193,HR,EMP1193,210194.94,08-10-2023,Rejected
194,Audit,EMP1194,346831.71,28-10-2024,Rejected
195,Operations,EMP1195,199861.53,06-10-2023,Rejected
196,Operations,EMP1196,63026.69,13-12-2023,Pending
197,Operations,EMP1197,16568.99,22-05-2024,Approved
198,IT,EMP1198,115655.06,03-04-2024,Pending
199,Finance,EMP1199,225885.91,16-09-2024,Rejected
200,IT,EMP1200,329704.04,13-10-2024,Approved
201,HR,EMP1201,191650.44,15-01-2024,Approved
202,Finance,EMP1202,142057.72,11-08-2024,Rejected
203,Sales,EMP1203,38080.29,03-09-2023,Pending
204,Sales,EMP1204,242658.65,14-04-2023,Rejected
205,Sales,EMP1205,110559.19,10-07-2023,Rejected
206,Audit,EMP1206,18182.8,31-10-2024,Approved
207,IT,EMP1207,168559.59,07-12-2024,Pending
208,Sales,EMP1208,388250.38,17-01-2023,Rejected
209,IT,EMP1209,329844.93,28-09-2024,Pending
210,Audit,EMP1210,230652.9,19-08-2024,Pending
211,HR,EMP1211,40167.31,16-03-2023,Rejected
212,Sales,EMP1212,91351.04,27-08-2024,Pending
213,HR,EMP1213,304118.86,13-02-2023,Rejected
214,Finance,EMP1214,125601.19,23-03-2024,Approved
215,IT,EMP1215,239833.46,06-12-2024,Rejected
216,IT,EMP1216,315129.89,06-12-2024,Approved
217,HR,EMP1217,238070.84,06-05-2024,Rejected
218,Operations,EMP1218,149570.24,21-11-2024,Approved
219,Finance,EMP1219,156154.77,29-10-2023,Rejected
220,Sales,EMP1220,35190.44,09-02-2024,Pending
221,Sales,EMP1221,366414.65,17-06-2023,Rejected
222,Audit,EMP1222,484934.61,28-09-2024,Pending
223,Sales,EMP1223,223537.98,31-05-2023,Rejected
224,Sales,EMP1224,218346.14,22-07-2024,Approved
225,Sales,EMP1225,170785.39,07-06-2024,Approved
226,Audit,EMP1226,133670.2,08-12-2024,Approved
227,IT,EMP1227,211266.43,11-11-2023,Rejected
228,HR,EMP1228,244646.44,26-01-2023,Pending
229,HR,EMP1229,120215.88,18-09-2023,Rejected
230,Operations,EMP1230,394509.19,31-01-2023,Rejected
231,Audit,EMP1231,76923.05,22-07-2024,Pending
232,HR,EMP1232,148296.47,30-07-2024,Approved
233,IT,EMP1233,19884.27,04-02-2024,Pending
234,Operations,EMP1234,63318.57,11-12-2023,Approved
235,Finance,EMP1235,208259.57,04-05-2023,Rejected
236,Audit,EMP1236,285645.17,04-07-2023,Approved
237,HR,EMP1237,184438.92,05-09-2024,Pending
238,Audit,EMP1238,227036.22,24-02-2023,Pending
239,Sales,EMP1239,103213.36,03-04-2024,Approved
240,Sales,EMP1240,33027.92,03-06-2024,Rejected
241,Finance,EMP1241,457462.97,07-01-2024,Approved
242,Finance,EMP1242,371562.29,25-04-2024,Approved
243,Operations,EMP1243,243604.24,14-08-2023,Rejected
244,HR,EMP1244,194459.47,23-05-2024,Rejected
245,Sales,EMP1245,391569.84,14-08-2024,Rejected
246,Finance,EMP1246,449100.06,03-03-2023,Pending
247,IT,EMP1247,70555.52,15-11-2023,Approved
248,Finance,EMP1248,154793.18,18-02-2024,Approved
249,HR,EMP1249,8137.81,06-03-2024,Pending
250,Operations,EMP1250,50437.89,03-01-2023,Pending
251,Operations,EMP1251,174977.98,30-05-2023,Approved
252,Finance,EMP1252,75347.14,23-05-2024,Rejected
253,HR,EMP1253,291466.14,12-10-2023,Pending
254,IT,EMP1254,492813.12,02-07-2023,Pending
255,IT,EMP1255,8830.79,26-08-2024,Pending
256,Finance,EMP1256,244338.01,24-06-2024,Approved
257,Finance,EMP1257,416265.14,21-01-2023,Rejected
258,Operations,EMP1258,214488.77,05-04-2023,Approved
259,Finance,EMP1259,157135.58,25-08-2023,Pending
260,IT,EMP1260,52337.88,01-03-2023,Rejected
261,HR,EMP1261,41611.66,02-06-2024,Pending
262,IT,EMP1262,112401.37,23-05-2024,Approved
263,IT,EMP1263,131718.45,01-09-2024,Pending
264,Audit,EMP1264,432508.94,24-05-2024,Pending
265,IT,EMP1265,365276.91,13-06-2024,Rejected
266,Sales,EMP1266,332522.53,26-11-2024,Rejected
267,Finance,EMP1267,450443.35,09-10-2024,Rejected
268,Operations,EMP1268,64779.54,21-06-2023,Approved
269,Audit,EMP1269,301040.93,10-12-2023,Pending
270,Operations,EMP1270,267156.82,31-01-2023,Approved
271,Audit,EMP1271,450675.19,29-07-2023,Approved
272,Operations,EMP1272,421438.15,04-01-2024,Pending
273,Sales,EMP1273,187072.42,25-08-2023,Approved
274,IT,EMP1274,22901.02,12-10-2024,Approved
275,Sales,EMP1275,145101.43,04-05-2024,Approved
276,Sales,EMP1276,415062.58,21-08-2023,Approved
277,IT,EMP1277,21195.83,29-03-2023,Approved
278,Finance,EMP1278,385818.99,21-01-2024,Pending
279,Operations,EMP1279,194932.57,12-11-2024,Rejected
280,Sales,EMP1280,450395.77,17-11-2023,Approved
281,IT,EMP1281,488528.08,18-10-2024,Pending
282,IT,EMP1282,6179.47,27-06-2023,Approved
283,Finance,EMP1283,75954.43,05-06-2024,Rejected
284,Finance,EMP1284,198722.64,17-02-2023,Rejected
285,Operations,EMP1285,435298.76,28-04-2024,Pending
286,HR,EMP1286,364100.48,13-08-2023,Approved
287,Finance,EMP1287,426914.3,14-06-2024,Rejected
288,HR,EMP1288,404322.08,06-03-2024,Approved
289,Operations,EMP1289,135473.58,19-01-2023,Rejected
290,Operations,EMP1290,363161.81,06-08-2024,Pending
291,Sales,EMP1291,122692.84,30-12-2023,Approved
292,Operations,EMP1292,278172.74,04-12-2023,Approved
293,Finance,EMP1293,195299.06,01-03-2023,Rejected
294,Finance,EMP1294,9292.05,17-09-2024,Pending
295,Operations,EMP1295,158179.65,05-08-2024,Pending
296,Finance,EMP1296,105049.43,21-09-2023,Rejected
297,IT,EMP1297,41688.77,13-08-2023,Pending
298,Sales,EMP1298,1007.4,18-07-2023,Rejected
299,Finance,EMP1299,40233.77,08-08-2024,Approved
300,Finance,EMP1300,437297.41,15-12-2024,Pending
301,Operations,EMP1301,228118.89,30-04-2023,Rejected
302,Operations,EMP1302,156216.14,28-01-2023,Pending
303,Finance,EMP1303,234769.75,29-01-2024,Approved
304,Finance,EMP1304,127069.6,13-02-2023,Rejected
