Record_ID,Department,Employee_ID,Transaction_Amount,Transaction_Date,Status
1,IT,EMP1001,277348.34,2024-05-11,Rejected
2,Finance,EMP1002,447806.67,2023-11-01,Rejected
3,Sales,EMP1003,245426.41,2023-02-24,Rejected
4,Operations,EMP1004,408916.1,2024-07-04,Approved
5,HR,EMP1005,332341.83,2023-01-02,Approved
6,IT,EMP1006,223711.08,2024-06-26,Rejected
7,Sales,EMP1007,361600.83,2023-05-01,Rejected
8,HR,EMP1008,467631.56,2024-05-24,Rejected
9,IT,EMP1009,499600.66,2023-08-02,Approved
10,HR,EMP1010,244209.84,2023-11-27,Rejected
11,IT,EMP1011,286507.8,2024-05-20,Pending
12,HR,EMP1012,148924.24,2024-10-16,Rejected
13,Finance,EMP1013,233495.99,2023-04-28,Pending
14,Operations,EMP1014,336743.6,2023-08-22,Pending
15,Sales,EMP1015,86832.49,2023-09-17,Rejected
16,Sales,EMP1016,382722.3,2023-08-21,Approved
17,Operations,EMP1017,471178.46,2024-10-08,Pending
18,Audit,EMP1018,329467.11,2023-04-03,Approved
19,Audit,EMP1019,467503.02,2024-11-14,Pending
20,HR,EMP1020,444806.14,2024-01-14,Rejected
21,Finance,EMP1021,178343.5,2023-05-19,Approved
22,HR,EMP1022,153289.28,2024-09-04,Pending
23,Audit,EMP1023,28743.52,2023-07-09,Pending
24,Operations,EMP1024,356347.62,2023-05-01,Approved
25,Sales,EMP1025,232386.66,2023-10-07,Pending
26,Sales,EMP1026,302368.03,2024-10-24,Pending
27,Operations,EMP1027,164107.14,2024-11-18,Approved
28,IT,EMP1028,108805.55,2023-04-29,Pending
29,Operations,EMP1029,258683.36,2024-07-25,Pending
30,Sales,EMP1030,366265.58,2024-05-22,Pending
31,IT,EMP1031,408354.68,2023-08-06,Rejected
32,Operations,EMP1032,493130.8,2023-06-27,Rejected
33,Sales,EMP1033,336871.94,2023-06-18,Approved
34,HR,EMP1034,293212.74,2024-10-17,Rejected
35,Audit,EMP1035,224687.83,2024-01-10,Approved
36,Finance,EMP1036,37102.63,2023-10-12,Rejected
37,IT,EMP1037,289359.07,2023-01-12,Approved
38,Operations,EMP1038,376335.02,2023-05-15,Approved
39,Sales,EMP1039,276450.87,2024-04-09,Approved
40,Operations,EMP1040,57948.12,2024-01-09,Rejected
41,Operations,EMP1041,176063.95,2024-09-30,Rejected
42,HR,EMP1042,126280.21,2023-07-24,Approved
43,Sales,EMP1043,212890.66,2024-05-02,Rejected
44,Finance,EMP1044,176698.46,2023-09-22,Rejected
45,Sales,EMP1045,249375.17,2024-12-13,Approved
46,Finance,EMP1046,77692.71,2023-03-10,Rejected
47,IT,EMP1047,161152.67,2023-02-07,Rejected
48,Finance,EMP1048,12379.81,2024-09-30,Pending
49,HR,EMP1049,392372.91,2024-07-27,Rejected
50,HR,EMP1050,332845.75,2024-11-06,Rejected
51,Audit,EMP1051,273046.12,2024-06-10,Rejected
52,Finance,EMP1052,450768.91,2024-07-16,Pending
53,IT,EMP1053,243641.65,2023-01-03,Rejected
54,IT,EMP1054,490206.65,2023-10-01,Pending
55,Sales,EMP1055,449663.82,2024-10-04,Rejected
56,Sales,EMP1056,13131.63,2023-07-12,Rejected
57,Sales,EMP1057,446209.42,2024-05-23,Rejected
58,Finance,EMP1058,471638.05,2024-05-22,Approved
59,HR,EMP1059,293300.31,2023-04-14,Rejected
60,Finance,EMP1060,18002.16,2023-12-31,Pending
61,Audit,EMP1061,392912.96,2023-03-07,Rejected
62,Operations,EMP1062,326511.92,2024-03-12,Pending
63,Operations,EMP1063,347065.86,2024-03-11,Rejected
